"code","disease"
"B24","Unspecified human immunodeficiency virus [HIV] disease"
"B25","Cytomegaloviral disease"
"B26","Mumps"
"B27","Infectious mononucleosis"
"B30","Viral conjunctivitis"
"B33","Other viral diseases, not elsewhere classified"
"B34","Viral infection of unspecified site"
"B35","Dermatophytosis"
"B36","Other superficial mycoses"
"B37","Candidiasis"
"B38","Coccidioidomycosis"
"B39","Histoplasmosis"
"B40","Blastomycosis"
"B41","Paracoccidioidomycosis"
"B42","Sporotrichosis"
"B43","Chromomycosis and pheomycotic abscess"
"B44","Aspergillosis"
"B45","Cryptococcosis"
"B46","Zygomycosis"
"B47","Mycetoma"
"B48","Other mycoses, not elsewhere classified"
"B49","Unspecified mycosis"
"B50","Plasmodium falciparum malaria"
"B51","Plasmodium vivax malaria"
"B52","Plasmodium malariae malaria"
"B53","Other parasitologically confirmed malaria"
"B54","Unspecified malaria"
"B55","Leishmaniasis"
"B56","African trypanosomiasis"
"B57","Chagas' disease"
"B58","Toxoplasmosis"
"B59","Pneumocystosis"
"B60","Other protozoal diseases, not elsewhere classified"
"B64","Unspecified protozoal disease"
"B65","Schistosomiasis [bilharziasis]"
"B66","Other fluke infections"
"B67","Echinococcosis"
"B68","Teniasis"
"B69","Cysticercosis"
"B70","Diphyllobothriasis and sparganosis"
"B71","Other cestode infections"
"B72","Dracunculiasis"
"B73","Onchocerciasis"
"B74","Filariasis"
"B75","Trichinellosis"
"B76","Hookworm diseases"
"B77","Ascariasis"
"B78","Strongyloidiasis"
"B79","Trichuriasis"
"B80","Enterobiasis"
"B81","Other intestinal helminthiases, not elsewhere classified"
"B82","Unspecified intestinal parasitism"
"B83","Other helminthiases"
"B85","Pediculosis and phthiriasis"
"B86","Scabies"
"B87","Myiasis"
"B88","Other infestations"
"B89","Unspecified parasitic disease"
"B90","Sequelae of tuberculosis"
"B91","Sequelae of poliomyelitis"
"B92","Sequelae of leprosy"
"B94","Sequelae of other and unspecified infectious and parasitic diseases"
"B99","Other infectious diseases"
"B99","Other and unspecified infectious diseases"
"C00","Malignant neoplasm of lip"
"C01","Malignant neoplasm of base of tongue"
"C02","Malignant neoplasm of other and unspecified parts of tongue"
"C03","Malignant neoplasm of gum"
"C04","Malignant neoplasm of floor of mouth"
"C05","Malignant neoplasm of palate"
"C06","Malignant neoplasm of other and unspecified parts of mouth"
"C07","Malignant neoplasm of parotid gland"
"C08","Malignant neoplasm of other and unspecified major salivary glands"
"C09","Malignant neoplasm of tonsil"
"C10","Malignant neoplasm of oropharynx"
"C11","Malignant neoplasm of nasopharynx"
"C12","Malignant neoplasm of pyriform sinus"
"C13","Malignant neoplasm of hypopharynx"
"C14","Malignant neoplasm of other and ill-defined sites in the lip, oral cavity, and pharynx"
"C15","Malignant neoplasm of esophagus"
"C16","Malignant neoplasm of stomach"
"C17","Malignant neoplasm of small intestine"
"C18","Malignant neoplasm of colon"
"C19","Malignant neoplasm of rectosigmoid junction"
"C20","Malignant neoplasm of rectum"
"C21","Malignant neoplasm of anus and anal canal"
"C22","Malignant neoplasm of liver and intrahepatic bile ducts"
"C23","Malignant neoplasm of gallbladder"
"C24","Malignant neoplasm of other and unspecified parts of biliary tract"
"C25","Malignant neoplasm of pancreas"
"C26","Malignant neoplasm of other and ill-defined digestive organs"
"C30","Malignant neoplasm of nasal cavity and middle ear"
"C31","Malignant neoplasm of accessory sinuses"
"C32","Malignant neoplasm of larynx"
"C33","Malignant neoplasm of trachea"
"C34","Malignant neoplasm of bronchus and lung"
"C37","Malignant neoplasm of thymus"
"C38","Malignant neoplasm of heart, mediastinum, and pleura"
"C39","Malignant neoplasm of other and ill-defined sites in the respiratory system and intrathoracic organs"
"C40","Malignant neoplasm of bone and articular cartilage of limbs"
"C41","Malignant neoplasm of bone and articular cartilage of other and unspecified sites"
"C43","Malignant melanoma of skin"
"C44","Other malignant neoplasms of skin"
"C45","Mesothelioma"
"C46","Kaposi's sarcoma"
"C47","Malignant neoplasm of peripheral nerves and autonomic nervous system"
"C48","Malignant neoplasm of retroperitoneum and peritoneum"
"C49","Malignant neoplasm of other connective and soft tissue"
"C50","Malignant neoplasm of breast"
"C50","Malignant neoplasm of breast"
"C51","Malignant neoplasm of vulva"
"C52","Malignant neoplasm of vagina"
"C53","Malignant neoplasm of cervix uteri"
"C54","Malignant neoplasm of corpus uteri"
"C55","Malignant neoplasm of uterus, part unspecified"
"C56","Malignant neoplasm of ovary"
"C57","Malignant neoplasm of other and unspecified female genital organs"
"C58","Malignant neoplasm of placenta"
"C60","Malignant neoplasm of penis"
"C61","Malignant neoplasm of prostate"
"C62","Malignant neoplasm of testis"
"C63","Malignant neoplasm of other and unspecified male genital organs"
"C64","Malignant neoplasm of kidney, except renal pelvis"
"C65","Malignant neoplasm of renal pelvis"
"C66","Malignant neoplasm of ureter"
"C67","Malignant neoplasm of bladder"
"C68","Malignant neoplasm of other and unspecified urinary organs"
"C69","Malignant neoplasm of eye and adnexa"
"C70","Malignant neoplasm of meninges"
"C71","Malignant neoplasm of brain"
"C72","Malignant neoplasm of spinal cord, cranial nerves, and other parts of central nervous system"
"C73","Malignant neoplasm of thyroid gland"
"C74","Malignant neoplasm of adrenal gland"
"C75","Malignant neoplasm of other endocrine glands and related structures"
"C76","Malignant neoplasm of other and ill_defined sites"
"C77","Secondary and unspecified malignant neoplasm of lymph nodes"
"C78","Secondary malignant neoplasm of respiratory and digestive organs"
"C79","Secondary malignant neoplasm of other sites"
"C80","Malignant neoplasm without specification of site"
"C81","Hodgkin's disease"
"C82","Follicular [nodular] non-Hodgkin's lymphoma"
"C83","Diffuse non-Hodgkin's lymphoma"
"C84","Peripheral and cutaneous T-cell lymphomas"
"C85","Other and unspecified types of non-Hodgkin's lymphoma"
"C88","Malignant immunoproliferative diseases"
"C90","Multiple myeloma and malignant plasma cell neoplasms"
"C91","Lymphoid leukemia"
"C92","Myeloid leukemia"
"C93","Monocytic leukemia"
"C94","Other leukemias of specified cell type"
"C95","Leukemia of unspecified cell type"
"C96","Other and unspecified malignant neoplasms of lymphoid, hematopoietic, and related tissue"
"C97","Malignant neoplasms of independent (primary) multiple sites"
"C97","Malignant neoplasms of independent (primary) multiple sites"
"D00","Carcinoma in situ of oral cavity, esophagus, and stomach"
"D01","Carcinoma in situ of other and unspecified digestive organs"
"D02","Carcinoma in situ of middle ear and respiratory system"
"D03","Melanoma in situ"
"D04","Carcinoma in situ of skin"
"D05","Carcinoma in situ of breast"
"D06","Carcinoma in situ of cervix uteri"
"D07","Carcinoma in situ of other and unspecified genital organs"
"D09","Carcinoma in situ of other and unspecified sites"
"D10","Benign neoplasm of mouth and pharynx"
"D11","Benign neoplasm of major salivary glands"
"D12","Benign neoplasm of colon, rectum, anus, and anal canal"
"D13","Benign neoplasm of other and ill-defined parts of digestive system"
"D14","Benign neoplasm of middle ear and respiratory system"
"D15","Benign neoplasm of other and unspecified intrathoracic organs"
"D16","Benign neoplasm of bone and articular cartilage"
"D17","Benign lipomatous neoplasm"
"D18","Hemangioma and lymphangioma, any site"
"D19","Benign neoplasm of mesothelial tissue"
"D20","Benign neoplasm of soft tissue of retroperitoneum and peritoneum"
"D21","Other benign neoplasms of connective and other soft tissue"
"D22","Melanocytic nevi"
"D23","Other benign neoplasms of skin"
"D24","Benign neoplasm of breast"
"D25","Leiomyoma of uterus"
"D26","Other benign neoplasms of uterus"
"D27","Benign neoplasm of ovary"
"D28","Benign neoplasm of other and unspecified female genital organs"
"D29","Benign neoplasm of male genital organs"
"D30","Benign neoplasm of urinary organs"
"D31","Benign neoplasm of eye and adnexa"
"D32","Benign neoplasm of meninges"
"D33","Benign neoplasm of brain and other parts of central nervous system"
"D34","Benign neoplasm of thyroid gland"
"D35","Benign neoplasm of other and unspecified endocrine glands"
"D36","Benign neoplasm of other and unspecified sites"
"D37","Neoplasm of uncertain or unknown behavior of oral cavity and digestive organs"
"D38","Neoplasm of uncertain or unknown behavior of middle ear and respiratory and intrathoracic organs"
"D39","Neoplasm of uncertain or unknown behavior of female genital organs"
"D40","Neoplasm of uncertain or unknown behavior of male genital organs"
"D41","Neoplasm of uncertain or unknown behavior of urinary organs"
"D42","Neoplasm of uncertain or unknown behavior of meninges"
"D43","Neoplasm of uncertain or unknown behavior of brain and central nervous system"
"D44","Neoplasm of uncertain or unknown behavior of endocrine glands"
"D45","Polycythemia vera"
"D46","Myelodysplastic syndromes"
"D47","Other neoplasms of uncertain or unknown behavior of lymphoid, hematopoietic, and related tissue"
"D48","Neoplasm of uncertain or unknown behavior of other and unspecified sites"
"D50","Iron deficiency anemia"
"D51","Vitamin B12 deficiency anemia"
"D52","Folate deficiency anemia"
"D53","Other nutritional anemias"
"D55","Anemia due to enzyme disorders"
"D56","Thalassemia"
"D57","Sickle-cell disorders"
"D58","Other hereditary hemolytic anemias"
"D59","Acquired hemolytic anemia"
"D60","Acquired pure red cell aplasia [erythroblastopenia]"
"D61","Other aplastic anemias"
"D62","Acute posthemorrhagic anemia"
"D64","Other anemias"
"D65","Disseminated intravascular coagulation [defibrination syndrome]"
"D66","Hereditary factor VIII deficiency"
"D67","Hereditary factor IX deficiency"
"D68","Other coagulation defects"
"D69","Purpura and other hemorrhagic conditions"
"D70","Agranulocytosis"
"D71","Functional disorders of polymorphonuclear neutrophils"
"D72","Other disorders of white blood cells"
"D73","Diseases of spleen"
"D74","Methemoglobinemia"
"D75","Other diseases of blood and blood-forming organs"
"D76","Certain diseases involving lymphoreticular tissue and reticulohistiocytic system"
"D80","Immunodeficiency with predominantly antibody defects"
"D81","Combined immunodeficiencies"
"D82","Immunodeficiency associated with other major defects"
"D83","Common variable immunodeficiency"
"D84","Other immunodeficiencies"
"D86","Sarcoidosis"
"D89","Other disorders involving the immune mechanism, not elsewhere classified"
"E00","Congenital iodine-deficiency syndrome"
"E01","Iodine-deficiency-related thyroid disorders and allied conditions"
"E02","Subclinical iodine-deficiency hypothyroidism"
"E03","Other hypothyroidism"
"E04","Other nontoxic goiter"
"E05","Thyrotoxicosis [hyperthyroidism]"
"E06","Thyroiditis"
"E07","Other disorders of thyroid"
"E10","Insulin-dependent diabetes mellitus"
"E11","Non-insulin-dependent diabetes mellitus  "
"E12","Malnutrition-related diabetes mellitus  "
"E13","Other specified diabetes mellitus  "
"E14","Unspecified diabetes mellitus  "
"E15","Nondiabetic hypoglycemic coma"
"E16","Other disorders of pancreatic internal secretion"
"E20","Hypoparathyroidism"
"E21","Hyperparathyroidism and other disorders of parathyroid gland"
"E22","Hyperfunction of pituitary gland"
"E23","Hypofunction and other disorders of the pituitary gland"
"E24","Cushing's syndrome"
"E25","Adrenogenital disorders"
"E26","Hyperaldosteronism"
"E27","Other disorders of adrenal gland"
"E28","Ovarian dysfunction"
"E29","Testicular dysfunction"
"E30","Disorders of puberty, not elsewhere classified"
"E31","Polyglandular dysfunction"
"E32","Diseases of thymus"
"E34","Other endocrine disorders"
"E40","Kwashiorkor"
"E41","Nutritional marasmus"
"E42","Marasmic kwashiorkor"
"E43","Unspecified severe protein-energy malnutrition"
"E44","Protein-energy malnutrition of moderate and mild degree"
"E45","Retarded development following protein-energy malnutrition"
"E46","Unspecified protein-energy malnutrition"
"E50","Vitamin A deficiency"
"E51","Thiamin deficiency"
"E52","Niacin deficiency [pellagra]"
"E53","Deficiency of other B group vitamins"
"E54","Ascorbic acid deficiency"
"E55","Vitamin D deficiency"
"E56","Other vitamin deficiencies"
"E58","Dietary calcium deficiency"
"E59","Dietary selenium deficiency"
"E60","Dietary zinc deficiency"
"E61","Deficiency of other nutrient elements"
"E63","Other nutritional deficiencies"
"E64","Sequelae of malnutrition and other nutritional deficiencies"
"E65","Localized adiposity"
"E66","Obesity"
"E67","Other hyperalimentation"
"E68","Sequelae of hyperalimentation"
"E70","Disorders of aromatic amino-acid metabolism"
"E71","Disorders of branched-chain amino-acid metabolism and fatty-acid metabolism"
"E72","Other disorders of amino-acid metabolism"
"E73","Lactose intolerance"
"E74","Other disorders of carbohydrate metabolism"
"E75","Disorders of sphingolipid metabolism and other lipid storage disorders"
"E76","Disorders of glycosaminoglycan metabolism"
"E77","Disorders of glycoprotein metabolism"
"E78","Disorders of lipoprotein metabolism and other lipidemias"
"E79","Disorders of purine and pyrimidine metabolism"
"E80","Disorders of porphyrin and bilirubin metabolism"
"E83","Disorders of mineral metabolism"
"E84","Cystic fibrosis"
"E85","Amyloidosis"
"E86","Volume depletion"
"E87","Other disorders of fluid, electrolyte, and acid-base balance"
"E88","Other metabolic disorders"
"E89","Postprocedural endocrine and metabolic disorders, not elsewhere classified"
"F01","Vascular dementia"
"F03","Unspecified dementia"
"F04","Organic amnesic syndrome, not induced by alcohol and other psychoactive substances"
"F05","Delirium, not induced by alcohol and other psychoactive substances"
"F06","Other mental disorders due to brain damage and dysfunction and to physical disease"
"F07","Personality and behavioral disorders due to brain disease, damage, and dysfunction"
"F09","Unspecified organic or symptomatic mental disorder"
"F10","Mental and behavioral disorders due to use of alcohol"
"F11","Mental and behavioral disorders due to use of opioids  "
"F12","Mental and behavioral disorders due to use of cannabinoids  "
"F13","Mental and behavioral disorders due to use of sedatives or hypnotics  "
"F14","Mental and behavioral disorders due to use of cocaine  "
"F15","Mental and behavioral disorders due to use of other stimulants, including caffeine  "
"F16","Mental and behavioral disorders due to use of hallucinogens  "
"F17","Mental and behavioral disorders due to use of tobacco  "
"F18","Mental and behavioral disorders due to use of volatile solvents  "
"F19","Mental and behavioral disorders due to multiple drug use and use of other psychoactive substances  "
"F20","Schizophrenia"
"F21","Schizotypal disorder"
"F22","Persistent delusional disorders"
"F23","Acute and transient psychotic disorders"
"F24","Induced delusional disorder"
"F25","Schizoaffective disorders"
"F28","Other nonorganic psychotic disorders"
"F29","Unspecified nonorganic psychosis"
"F30","Manic episode"
"F31","Bipolar affective disorder"
"F32","Depressive episode"
"F33","Recurrent depressive disorder"
"F34","Persistent mood [affective] disorders"
"F38","Other mood [affective] disorders"
"F39","Unspecified mood [affective] disorder"
"F40","Phobic anxiety disorders"
"F41","Other anxiety disorders"
"F42","Obsessive-compulsive disorder"
"F43","Reaction to severe stress, and adjustment disorders"
"F44","Dissociative [conversion] disorders"
"F45","Somatoform disorders"
"F48","Other neurotic disorders"
"F50","Eating disorders"
"F51","Nonorganic sleep disorders"
"F52","Sexual dysfunction, not caused by organic disorder or disease"
"F53","Mental and behavioral disorders associated with the puerperium, not elsewhere classified"
"F54","Psychological and behavioral factors associated with disorders or diseases classified elsewhere"
"F55","Abuse of non-dependence-producing substances"
"F59","Unspecified behavioral syndromes associated with physiological disturbances and physical factors"
"F60","Specific personality disorders"
"F61","Mixed and other personality disorders"
"F62","Enduring personality changes, not attributable to brain damage and disease"
"F63","Habit and impulse disorders"
"F64","Gender identity disorders"
"F65","Disorders of sexual preference"
"F66","Psychological and behavioral disorders associated with sexual development and orientation"
"F68","Other disorders of adult personality and behavior"
"F69","Unspecified disorder of adult personality and behavior"
"F70","Mild mental retardation"
"F71","Moderate mental retardation"
"F72","Severe mental retardation"
"F73","Profound mental retardation"
"F78","Other mental retardation"
"F79","Unspecified mental retardation"
"F80","Specific developmental disorders of speech and language"
"F81","Specific developmental disorders of scholastic skills"
"F82","Specific developmental disorder of motor function"
"F83","Mixed specific developmental disorders"
"F84","Pervasive developmental disorders"
"F88","Other disorders of psychological development"
"F89","Unspecified disorder of psychological development"
"F90","Hyperkinetic disorders"
"F91","Conduct disorders"
"F92","Mixed disorders of conduct and emotions"
"F93","Emotional disorders with onset specific to childhood"
"F94","Disorders of social functioning with onset specific to childhood and adolescence"
"F95","Tic disorders"
"F98","Other behavioral and emotional disorders with onset usually occurring in childhood and adolescence"
"F99","Mental disorder, not otherwise specified"
"F99","Mental disorder, not otherwise specified"
"G00","Bacterial meningitis, not elsewhere classified"
"G03","Meningitis due to other and unspecified causes"
"G04","Encephalitis, myelitis, and encephalomyelitis"
"G06","Intracranial and intraspinal abscess and granuloma"
"G08","Intracranial and intraspinal phlebitis and thrombophlebitis"
"G09","Sequelae of inflammatory diseases of central nervous system"
"G10","Huntington's disease"
"G11","Hereditary ataxia"
"G12","Spinal muscular atrophy and related syndromes"
"G20","Parkinson's disease"
"G21","Secondary parkinsonism"
"G23","Other degenerative diseases of basal ganglia"
"G24","Dystonia"
"G25","Other extrapyramidal and movement disorders"
"G30","Alzheimer's disease"
"G31","Other degenerative diseases of nervous system, not elsewhere classified"
"G35","Multiple sclerosis"
"G36","Other acute disseminated demyelination"
"G37","Other demyelinating diseases of central nervous system"
"G40","Epilepsy"
"G41","Status epilepticus"
"G43","Migraine"
"G44","Other headache syndromes"
"G45","Transient cerebral ischemic attacks and related syndromes"
"G47","Sleep disorders"
"G50","Disorders of trigeminal nerve"
"G51","Facial nerve disorders"
"G52","Disorders of other cranial nerves"
"G54","Nerve root and plexus disorders"
"G56","Mononeuropathies of upper limb"
"G57","Mononeuropathies of lower limb"
"G58","Other mononeuropathies"
"G60","Hereditary and idiopathic neuropathy"
"G61","Inflammatory polyneuropathy"
"G62","Other polyneuropathies"
"G64","Other disorders of peripheral nervous system"
"G70","Myasthenia gravis and other myoneural disorders"
"G71","Primary disorders of muscles"
"G72","Other myopathies"
"G80","Infantile cerebral palsy"
"G81","Hemiplegia"
"G82","Paraplegia and tetraplegia"
"G83","Other paralytic syndromes"
"G90","Disorders of autonomic nervous system"
"G91","Hydrocephalus"
"G92","Toxic encephalopathy"
"G93","Other disorders of brain"
"G95","Other diseases of spinal cord"
"G96","Other disorders of central nervous system"
"G97","Postprocedural disorders of nervous system, not elsewhere classified"
"G98","Other disorders of nervous system, not elsewhere classified"
"H00","Hordeolum and chalazion"
"H01","Other inflammation of eyelid"
"H02","Other disorders of eyelid"
"H04","Disorders of lacrimal system"
"H05","Disorders of orbit"
"H10","Conjunctivitis"
"H11","Other disorders of conjunctiva"
"H15","Disorders of sclera"
"H16","Keratitis"
"H17","Corneal scars and opacities"
"H18","Other disorders of cornea"
"H20","Iridocyclitis"
"H21","Other disorders of iris and ciliary body"
"H25","Senile cataract"
"H26","Other cataract"
"H27","Other disorders of lens"
"H30","Chorioretinal inflammation"
"H31","Other disorders of choroid"
"H33","Retinal detachments and breaks"
"H34","Retinal vascular occlusions"
"H35","Other retinal disorders"
"H40","Glaucoma"
"H40","Glaucoma"
"H43","Disorders of vitreous body"
"H44","Disorders of globe"
"H46","Optic neuritis"
"H47","Other disorders of optic [second] nerve and visual pathways"
"H49","Paralytic strabismus"
"H50","Other strabismus"
"H51","Other disorders of binocular movement"
"H52","Disorders of refraction and accommodation"
"H53","Visual disturbances"
"H54","Blindness and low vision"
"H55","Nystagmus and other irregular eye movements"
"H57","Other disorders of eye and adnexa"
"H59","Postprocedural disorders of eye and adnexa, not elsewhere classified"
"H60","Otitis externa"
"H61","Other disorders of external ear"
"H65","Nonsuppurative otitis media"
"H66","Suppurative and unspecified otitis media"
"H68","Eustachian salpingitis and obstruction"
"H69","Other disorders of Eustachian tube"
"H70","Mastoiditis and related conditions"
"H71","Cholesteatoma of middle ear"
"H72","Perforation of tympanic membrane"
"H73","Other disorders of tympanic membrane"
"H74","Other disorders of middle ear and mastoid"
"H80","Otosclerosis"
"H81","Disorders of vestibular function"
"H83","Other diseases of inner ear"
"H90","Conductive and sensorineural hearing loss"
"H91","Other hearing loss"
"H92","Otalgia and effusion of ear"
"H93","Other disorders of ear, not elsewhere classified"
"H95","Postprocedural disorders of ear and mastoid process, not elsewhere classified "
"I00","Rheumatic fever without mention of heart involvement"
"I01","Rheumatic fever with heart involvement"
"I02","Rheumatic chorea"
"I05","Rheumatic mitral valve diseases"
"I06","Rheumatic aortic valve diseases"
"I07","Rheumatic tricuspid valve diseases"
"I08","Multiple valve diseases"
"I09","Other rheumatic heart diseases"
"I10","Essential (primary) hypertension"
"I11","Hypertensive heart disease"
"I12","Hypertensive renal disease"
"I13","Hypertensive heart and renal disease"
"I15","Secondary hypertension"
"I20","Angina pectoris"
"I21","Acute myocardial infarction"
"I22","Subsequent myocardial infarction"
"I24","Other acute ischemic heart diseases"
"I25","Chronic ischemic heart disease"
"I26","Pulmonary embolism"
"I27","Other pulmonary heart diseases"
"I28","Other diseases of pulmonary vessels"
"I30","Acute pericarditis"
"I31","Other diseases of pericardium"
"I33","Acute and subacute endocarditis"
"I34","Nonrheumatic mitral valve disorders"
"I35","Nonrheumatic aortic valve disorders"
"I36","Nonrheumatic tricuspid valve disorders"
"I37","Pulmonary valve disorders"
"I38","Endocarditis, valve unspecified"
"I40","Acute myocarditis"
"I42","Cardiomyopathy"
"I44","Atrioventricular and left bundle-branch block"
"I45","Other conduction disorders"
"I46","Cardiac arrest"
"I47","Paroxysmal tachycardia"
"I48","Atrial fibrillation and flutter"
"I49","Other cardiac arrhythmias"
"I50","Heart failure"
"I51","Complications and ill-defined descriptions of heart disease"
"I60","Subarachnoid hemorrhage"
"I61","Intracerebral hemorrhage"
"I62","Other nontraumatic intracranial hemorrhage"
"I63","Cerebral infarction"
"I64","Stroke, not specified as hemorrhage or infarction"
"I67","Other cerebrovascular diseases"
"I69","Sequelae of cerebrovascular disease"
"I70","Atherosclerosis"
"I71","Aortic aneurysm and dissection"
"I72","Other aneurysm"
"I73","Other peripheral vascular diseases"
"I74","Arterial embolism and thrombosis"
"I77","Other disorders of arteries and arterioles"
"I78","Diseases of capillaries"
"I80","Phlebitis and thrombophlebitis"
"I81","Portal vein thrombosis"
"I82","Other venous embolism and thrombosis"
"I83","Varicose veins of lower extremities"
"I84","Hemorrhoids"
"I85","Esophageal varices"
"I86","Varicose veins of other sites"
"I87","Other disorders of veins"
"I88","Nonspecific lymphadenitis"
"I89","Other noninfective disorders of lymphatic vessels and lymph nodes"
"I95","Hypotension"
"I97","Postprocedural disorders of circulatory system, not elsewhere classified "
"I99","Other and unspecified disorders of circulatory system"
"J00","Acute nasopharyngitis [common cold]"
"J01","Acute sinusitis"
"J02","Acute pharyngitis"
"J03","Acute tonsillitis"
"J04","Acute laryngitis and tracheitis"
"J05","Acute obstructive laryngitis [croup] and epiglottitis"
"J06","Acute upper respiratory infections of multiple and unspecified sites"
"J09","Influenza due to identified avian influenza virus"
"J10","Influenza due to identified influenza virus"
"J11","Influenza, virus not identified"
"J12","Viral pneumonia, not elsewhere classified"
"J13","Pneumonia due to Streptococcus pneumoniae"
"J14","Pneumonia due to Hemophilus influenzae"
"J15","Bacterial pneumonia, not elsewhere classified"
"J16","Pneumonia due to other infectious organisms, not elsewhere classified"
"J18","Pneumonia, organism unspecified"
"J20","Acute bronchitis"
"J21","Acute bronchiolitis"
"J22","Unspecified acute lower respiratory infection"
"J30","Vasomotor and allergic rhinitis"
"J31","Chronic rhinitis, nasopharyngitis, and pharyngitis"
"J32","Chronic sinusitis"
"J33","Nasal polyp"
"J34","Other disorders of nose and nasal sinuses"
"J35","Chronic diseases of tonsils and adenoids"
"J36","Peritonsillar abscess"
"J37","Chronic laryngitis and laryngotracheitis"
"J38","Diseases of vocal cords and larynx, not elsewhere classified"
"J39","Other diseases of upper respiratory tract"
"J40","Bronchitis, not specified as acute or chronic"
"J41","Simple and mucopurulent chronic bronchitis"
"J42","Unspecified chronic bronchitis"
"J43","Emphysema"
"J44","Other chronic obstructive pulmonary disease"
"J45","Asthma"
"J46","Status asthmaticus"
"J47","Bronchiectasis"
"J60","Coalworker's pneumoconiosis"
"J61","Pneumoconiosis due to asbestos and other mineral fibers"
"J62","Pneumoconiosis due to dust containing silica"
"J63","Pneumoconiosis due to other inorganic dusts"
"J64","Unspecified pneumoconiosis"
"J65","Pneumoconiosis associated with tuberculosis"
"J66","Airway disease due to specific organic dust"
"J67","Hypersensitivity pneumonitis due to organic dust"
"J68","Respiratory conditions due to inhalation of chemicals, gases, fumes, and vapors"
"J69","Pneumonitis due to solids and liquids"
"J70","Respiratory conditions due to other external agents"
"J80","Adult respiratory distress syndrome"
"J81","Pulmonary edema"
"J82","Pulmonary eosinophilia, not elsewhere classified"
"J84","Other interstitial pulmonary diseases"
"J85","Abscess of lung and mediastinum"
"J86","Pyothorax"
"J90","Pleural effusion, not elsewhere classified"
