iso2,year,new_sp,new_sp_m04,new_sp_m514,new_sp_m014,new_sp_m1524,new_sp_m2534,new_sp_m3544,new_sp_m4554,new_sp_m5564,new_sp_m65,new_sp_mu,new_sp_f04,new_sp_f514,new_sp_f014,new_sp_f1524,new_sp_f2534,new_sp_f3544,new_sp_f4554,new_sp_f5564,new_sp_f65,new_sp_fu
"AE",2007,56,0,2,2,5,6,3,4,3,10,,0,1,1,8,6,3,2,0,0,
"AE",2008,50,0,0,0,6,1,7,5,3,6,0,0,0,0,10,4,1,1,3,3,0
"AF",1980,,,,,,,,,,,,,,,,,,,,,
"AF",1981,,,,,,,,,,,,,,,,,,,,,
"AF",1982,,,,,,,,,,,,,,,,,,,,,
"AF",1983,,,,,,,,,,,,,,,,,,,,,
"AF",1984,,,,,,,,,,,,,,,,,,,,,
"AF",1985,,,,,,,,,,,,,,,,,,,,,
"AF",1986,,,,,,,,,,,,,,,,,,,,,
"AF",1987,,,,,,,,,,,,,,,,,,,,,
"AF",1988,,,,,,,,,,,,,,,,,,,,,
"AF",1989,,,,,,,,,,,,,,,,,,,,,
"AF",1990,,,,,,,,,,,,,,,,,,,,,
"AF",1991,,,,,,,,,,,,,,,,,,,,,
"AF",1997,618,,,0,10,6,3,5,2,0,,,,5,38,36,14,8,0,1,
"AF",1998,1833,,,30,129,128,90,89,64,41,,,,45,350,419,194,118,61,20,
"AF",1999,1669,,,8,55,55,47,34,21,8,,,,25,139,160,110,50,25,8,
"AF",2000,2892,,,52,228,183,149,129,94,80,,,,93,414,565,339,205,99,36,
"AF",2001,4639,,,129,379,349,274,204,139,103,,,,146,799,888,586,375,179,89,
"AF",2002,6509,,,90,476,481,368,246,241,189,,,,192,1119,1251,792,526,320,218,
"AF",2003,6510,,,127,511,436,284,256,288,203,,,,245,1152,1287,814,462,305,158,
"AF",2004,8273,,,139,537,568,360,358,386,310,,,,256,1360,1561,1096,645,413,256,
"AF",2005,9949,,,151,606,560,472,453,470,419,,,,320,1651,1959,1302,869,471,246,
"AF",2006,12468,,,193,837,791,574,572,572,410,,,,442,2139,2340,1654,1006,630,309,
"AF",2007,13213,,,186,856,840,597,566,630,507,,,,475,2224,2357,1708,1143,771,353,
"AF",2008,13136,,,187,941,773,545,570,630,575,,,,428,2094,2449,1614,1149,817,364,
"AG",1980,,,,,,,,,,,,,,,,,,,,,
"AG",1981,,,,,,,,,,,,,,,,,,,,,
"AG",1982,,,,,,,,,,,,,,,,,,,,,
"AG",1983,,,,,,,,,,,,,,,,,,,,,
"AG",1984,,,,,,,,,,,,,,,,,,,,,
"AG",1985,,,,,,,,,,,,,,,,,,,,,
"AG",1986,,,,,,,,,,,,,,,,,,,,,
"AG",1987,,,,,,,,,,,,,,,,,,,,,
"AG",1988,,,,,,,,,,,,,,,,,,,,,
"AG",1989,,,,,,,,,,,,,,,,,,,,,
"AG",1990,,,,,,,,,,,,,,,,,,,,,
"AG",1991,,,,,,,,,,,,,,,,,,,,,
"AG",1992,,,,,,,,,,,,,,,,,,,,,
"AG",1995,,,,,,,,,,,,,,,,,,,,,
"AG",1996,2,,,0,0,0,0,1,0,0,,,,0,0,0,1,0,0,0,
"AG",1997,,,,,,,,,,,,,,,,,,,,,
"AG",1998,,,,,,,,,,,,,,,,,,,,,
"AG",1999,1,,,,,,,,,,,,,,,,,,,,
"AG",2000,3,,,0,0,0,0,0,0,1,,,,1,1,1,0,0,0,0,
"AG",2001,1,,,,,,,,,,,,,0,1,0,0,0,0,0,
"AG",2002,2,,,0,0,1,0,0,0,0,,,,2,0,1,0,0,0,0,
"AG",2003,1,,,0,0,1,0,0,0,0,,,,0,0,0,0,0,0,0,
"AG",2004,,,,,,,,,,,,,,,,,,,,,
"AG",2005,6,,,,,,1,1,,,,,,,2,2,,,,,
"AG",2006,4,,,,,,,,,,,,,,,,,,,,
"AG",2007,2,0,0,0,0,0,0,1,1,0,,0,0,0,0,0,0,0,0,0,
"AG",2008,1,,,,,,,1,,,,,,,,,,,,,
"AI",1980,,,,,,,,,,,,,,,,,,,,,
"AI",1981,,,,,,,,,,,,,,,,,,,,,
"AI",1982,,,,,,,,,,,,,,,,,,,,,
"AI",1983,,,,,,,,,,,,,,,,,,,,,
"AI",1984,,,,,,,,,,,,,,,,,,,,,
"AI",1985,,,,,,,,,,,,,,,,,,,,,
"AI",1986,,,,,,,,,,,,,,,,,,,,,
"AI",1987,,,,,,,,,,,,,,,,,,,,,
"AI",1988,,,,,,,,,,,,,,,,,,,,,
"AI",1989,,,,,,,,,,,,,,,,,,,,,
"AI",1990,,,,,,,,,,,,,,,,,,,,,
"AI",1991,,,,,,,,,,,,,,,,,,,,,
"AI",1992,,,,,,,,,,,,,,,,,,,,,
"AI",1995,0,,,,,,,,,,,,,,,,,,,,
"AI",1997,0,,,,,,,,,,,,,,,,,,,,
"AI",2001,0,,,,,,,,,,,,,,,,,,,,
"AI",2002,0,,,,,,,,,,,,,,,,,,,,
"AI",2003,,,,,,,,,,,,,,,,,1,,,,
"AI",2004,0,,,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,
"AI",2006,0,,,,,,,,,,,,,,,,,,,,
"AI",2007,0,,,,,,,,,,,,,,,,,,,,
"AI",2008,,,,,,,,,,,,,,,,,,,,,
"AL",1980,,,,,,,,,,,,,,,,,,,,,
"AL",1981,,,,,,,,,,,,,,,,,,,,,
"AL",1982,,,,,,,,,,,,,,,,,,,,,
"AL",1983,,,,,,,,,,,,,,,,,,,,,
"AL",1984,,,,,,,,,,,,,,,,,,,,,
"AL",1985,,,,,,,,,,,,,,,,,,,,,
"AL",1986,,,,,,,,,,,,,,,,,,,,,
"AL",1987,,,,,,,,,,,,,,,,,,,,,
"AL",1988,,,,,,,,,,,,,,,,,,,,,
"AL",1989,,,,,,,,,,,,,,,,,,,,,
"AL",1990,,,,,,,,,,,,,,,,,,,,,
"AL",1991,,,,,,,,,,,,,,,,,,,,,
"AL",1994,250,,,,,,,,,,,,,,,,,,,,
"AL",1995,139,,,0,0,0,0,19,40,30,,,,0,1,0,0,13,20,16,
"AL",1996,173,,,,,,,,,,,,,,,,,,,,
"AL",1997,241,,,0,23,43,33,25,21,19,,,,1,16,19,14,9,10,8,
"AL",1998,212,,,1,17,21,24,18,26,24,,,,2,19,11,12,13,11,13,
"AL",1999,168,,,0,13,23,25,19,15,15,,,,0,5,13,11,5,8,16,
"AL",2000,171,,,2,19,21,14,24,19,16,,,,3,11,10,8,8,5,11,
"AL",2001,171,,,3,13,18,17,19,20,30,,,,1,12,10,5,7,7,9,
"AL",2002,225,,,0,21,27,29,19,23,25,,,,2,20,19,9,6,8,17,
"AL",2003,211,,,0,28,19,32,16,22,19,,,,2,13,8,6,14,12,20,
"AL",2004,201,,,5,12,19,21,24,23,20,,,,2,12,12,8,11,10,22,
"AL",2005,196,0,0,0,26,21,16,31,20,37,0,0,0,0,3,9,5,5,5,18,0
"AL",2006,186,1,4,5,24,19,22,21,19,20,0,0,2,2,12,8,7,7,7,13,0
"AL",2007,165,0,0,0,19,13,16,24,16,19,0,0,2,2,13,9,7,7,11,9,0
"AL",2008,170,1,0,1,23,26,13,19,13,16,,0,1,1,20,10,8,5,5,10,
"AM",1980,,,,,,,,,,,,,,,,,,,,,
"AM",1981,,,,,,,,,,,,,,,,,,,,,
"AM",1982,,,,,,,,,,,,,,,,,,,,,
"AM",1983,,,,,,,,,,,,,,,,,,,,,
"AM",1984,,,,,,,,,,,,,,,,,,,,,
"AM",1985,,,,,,,,,,,,,,,,,,,,,
"AM",1986,,,,,,,,,,,,,,,,,,,,,
"AM",1987,,,,,,,,,,,,,,,,,,,,,
"AM",1988,,,,,,,,,,,,,,,,,,,,,
"AM",1989,,,,,,,,,,,,,,,,,,,,,
"AM",1990,,,,,,,,,,,,,,,,,,,,,
"AM",1991,,,,,,,,,,,,,,,,,,,,,
"AM",1992,,,,,,,,,,,,,,,,,,,,,
"AM",1993,,,,,,,,,,,,,,,,,,,,,
"AM",1994,319,,,,,,,,,,,,,,,,,,,,
"AM",1995,436,,,1,18,16,11,10,8,1,,,,1,1,7,2,1,1,,
"AM",1996,327,,,2,53,100,51,43,30,7,,,,0,9,11,9,8,4,0,
"AM",1997,400,,,2,85,59,77,51,34,12,,,,3,16,22,17,7,14,1,
"AM",1998,475,,,2,159,90,79,39,17,15,,,,1,21,20,11,10,5,6,
"AM",1999,576,,,4,151,88,115,76,37,20,,,,6,22,15,20,6,9,7,
"AM",2000,621,,,2,152,130,131,63,26,21,,,,1,24,27,24,8,8,4,
"AM",2001,572,,,2,154,120,93,54,24,9,,,,1,40,31,22,10,7,5,
"AM",2002,511,,,1,95,63,109,93,21,14,,,,2,16,24,32,36,4,1,
"AM",2003,575,,,12,120,98,75,104,49,18,,,,2,29,31,13,12,9,3,
"AM",2004,602,,,2,130,72,76,62,25,24,,,,1,24,17,12,10,3,3,
"AM",2005,581,1,2,3,170,104,83,84,30,24,0,0,3,3,27,21,10,11,4,7,0
"AM",2006,580,0,0,0,113,116,96,98,38,17,0,0,3,3,28,29,16,15,7,4,0
"AM",2007,497,0,1,1,81,87,100,92,29,20,0,0,2,2,31,22,11,7,7,7,0
"AM",2008,487,0,0,0,53,103,74,87,37,15,0,0,4,4,44,25,10,14,10,11,0
"AN",1996,3,,,0,0,0,0,1,1,1,,,,0,0,0,1,0,0,0,
"AN",1997,5,,,0,0,1,1,0,1,3,,,,0,0,2,2,1,1,1,
"AN",1998,6,,,0,0,0,0,0,1,2,,,,0,1,0,2,1,0,0,
"AN",1999,2,,,0,0,1,0,1,0,0,,,,0,1,1,0,0,0,0,
"AN",2000,2,,,0,0,1,2,0,0,0,,,,0,0,1,0,0,1,0,
"AN",2001,7,,,0,0,1,5,0,0,0,,,,0,0,1,0,0,1,0,
"AN",2002,9,,,0,1,1,3,2,3,1,,,,0,1,0,0,1,0,1,
"AN",2003,4,,,0,0,2,1,0,0,3,,,,0,0,1,1,0,1,0,
"AN",2004,8,,,1,1,0,4,3,0,1,,,,0,0,,1,0,0,0,
"AN",2005,,,,,,,,,,,,,,,,,,,,,
"AN",2006,5,0,0,0,0,0,2,1,1,0,,0,1,1,0,0,0,0,0,0,
"AN",2007,,,,,,,,,,,,,,,,,,,,,
"AN",2008,,,,,,,,,,,,,,,,,,,,,
"AO",1980,,,,,,,,,,,,,,,,,,,,,
"AO",1981,,,,,,,,,,,,,,,,,,,,,
"AO",1982,,,,,,,,,,,,,,,,,,,,,
"AO",1983,,,,,,,,,,,,,,,,,,,,,
"AO",1984,,,,,,,,,,,,,,,,,,,,,
"AO",1985,,,,,,,,,,,,,,,,,,,,,
"AO",1986,,,,,,,,,,,,,,,,,,,,,
"AO",1987,,,,,,,,,,,,,,,,,,,,,
"AO",1988,,,,,,,,,,,,,,,,,,,,,
"AO",1989,,,,,,,,,,,,,,,,,,,,,
"AO",1990,,,,,,,,,,,,,,,,,,,,,
"AO",1991,,,,,,,,,,,,,,,,,,,,,
"AO",1992,,,,,,,,,,,,,,,,,,,,,
"AO",1993,4874,,,,,,,,,,,,,,,,,,,,
"AO",1994,4337,,,,,,,,,,,,,,,,,,,,
"AO",1995,3804,,,386,724,562,346,224,155,14,,,,371,707,443,264,248,130,18,
"AO",1996,8016,,,360,1036,926,1027,469,272,169,,,,388,1066,963,615,370,242,113,
"AO",1997,8246,,,419,913,1026,819,507,304,193,,,,431,1165,1007,627,411,234,145,
"AO",1998,7333,,,240,915,950,839,470,219,135,,,,297,1084,970,623,319,169,92,
"AO",1999,7379,,,391,1134,1237,973,518,314,234,,,,459,1197,1157,743,474,217,194,
"AO",2000,9053,,,186,999,1003,912,482,312,194,,,,247,1142,1091,844,417,200,120,
"AO",2001,11923,,,230,892,752,648,420,197,173,,,,279,993,869,647,323,200,182,
"AO",2002,18087,,,435,2223,2292,1915,1187,624,444,,,,640,2610,2208,1600,972,533,305,
"AO",2003,18971,,,409,2355,2598,1908,1090,512,361,,,,591,3078,2641,1747,1157,395,129,
"AO",2004,20301,,,554,2684,2659,1998,1196,561,321,,,,733,3198,2772,1854,1029,505,269,
"AO",2005,20410,,,520,2549,2797,1918,1255,665,461,,,,704,2926,2682,1797,1138,581,417,
"AO",2006,21499,,,540,2632,3049,2182,1397,729,428,,,,689,2851,2892,1990,1223,583,314,
"AO",2007,21422,,,484,2824,3197,2255,1357,699,465,,,,703,2943,2721,1812,1041,554,367,
"AO",2008,22562,,,367,2970,3493,2418,1480,733,420,0,,,512,3199,2786,2082,1209,556,337,0
"AR",1980,,,,,,,,,,,,,,,,,,,,,
"AR",1981,,,,,,,,,,,,,,,,,,,,,
"AR",1982,,,,,,,,,,,,,,,,,,,,,
"AR",1983,,,,,,,,,,,,,,,,,,,,,
"AR",1984,,,,,,,,,,,,,,,,,,,,,
"AR",1985,,,,,,,,,,,,,,,,,,,,,
"AR",1986,,,,,,,,,,,,,,,,,,,,,
"AR",1987,,,,,,,,,,,,,,,,,,,,,
"AR",1988,,,,,,,,,,,,,,,,,,,,,
"AR",1989,,,,,,,,,,,,,,,,,,,,,
"AR",1990,,,,,,,,,,,,,,,,,,,,,
"AR",1991,,,,,,,,,,,,,,,,,,,,,
"AR",1992,,,,,,,,,,,,,,,,,,,,,
"AR",1993,5937,,,,,,,,,,,,,,,,,,,,
"AR",1994,5696,,,,,,,,,,,,,,,,,,,,
"AR",1995,5698,,,,,,,,,,,,,,,,,,,,
"AR",1996,5787,,,113,611,535,338,276,230,286,,,,107,643,591,528,546,520,463,
"AR",1997,5307,,,96,580,600,523,489,417,393,,,,133,566,511,336,240,199,234,
"AR",1998,5186,,,84,578,571,463,476,387,370,,,,94,558,498,271,229,207,276,
"AR",1999,4830,,,90,490,546,435,464,384,380,,,,108,502,442,292,210,177,249,
"AR",2000,4749,,,97,278,594,402,419,368,330,,,,121,544,479,262,230,179,216,
"AR",2001,5595,,,78,682,611,495,471,404,436,,,,85,674,561,303,242,215,249,
"AR",2002,5498,,,70,612,658,463,477,389,399,,,,117,622,580,301,237,203,255,
"AR",2003,4961,,,89,574,565,413,461,366,405,,,,99,516,513,294,241,192,231,
"AR",2004,4760,,,64,588,543,399,387,332,345,,,,98,519,477,271,237,169,237,
"AR",2005,4709,,,64,621,530,358,384,340,348,,,,90,530,474,290,198,169,240,
"AR",2006,4834,19,48,67,519,484,360,351,346,321,,18,56,74,438,437,235,197,173,213,
"AR",2007,4985,14,63,77,656,623,401,415,389,324,,14,56,70,558,500,246,217,172,246,
"AR",2008,4758,11,58,69,633,611,390,416,364,295,30,5,61,66,536,506,252,221,157,204,8
"AS",1980,,,,,,,,,,,,,,,,,,,,,
"AS",1981,,,,,,,,,,,,,,,,,,,,,
"AS",1982,,,,,,,,,,,,,,,,,,,,,
"AS",1983,,,,,,,,,,,,,,,,,,,,,
"AS",1984,,,,,,,,,,,,,,,,,,,,,
"AS",1985,,,,,,,,,,,,,,,,,,,,,
"AS",1986,,,,,,,,,,,,,,,,,,,,,
"AS",1987,,,,,,,,,,,,,,,,,,,,,
"AS",1988,,,,,,,,,,,,,,,,,,,,,
"AS",1989,,,,,,,,,,,,,,,,,,,,,
"AS",1990,,,,,,,,,,,,,,,,,,,,,
"AS",1991,,,,,,,,,,,,,,,,,,,,,
"AS",1992,,,,,,,,,,,,,,,,,,,,,
"AS",1993,1,,,,,,,,,,,,,,,,,,,,
"AS",1994,4,,,,,,,,,,,,,,,,,,,,
"AS",1995,,,,,,,,,,,,,,,,,,,,,
"AS",1996,0,,,,,,,,,,,,,,,,,,,,
"AS",1997,6,,,1,0,0,1,1,1,1,,,,0,0,0,0,1,0,0,
"AS",1998,2,,,,,,,,,,,,,,,,,,,,
"AS",1999,3,,,,,,,,,,,,,,,,,,,,
"AS",2000,2,,,,,,,1,1,,,,,,,,,1,,,
"AS",2001,2,,,,,,,,,,,,,,,,1,,1,,
"AS",2002,1,,,,,,,,1,,,,,,,,,,,,
"AS",2003,2,,,,,,,,1,,,,,,,,,1,,,
"AS",2004,2,,,,,,,,2,,,,,,,,,1,,,
"AS",2005,3,,,,,,,,,,,,,,,1,,2,,,
"AS",2006,3,,,,,,,,,,,,,,,1,,2,,,
"AS",2007,0,,,,,,,,,,,,,,,,,,,,
"AS",2008,0,,,,,,,,,,,,,,,,,,,,
"AT",1980,,,,,,,,,,,,,,,,,,,,,
"AT",1981,,,,,,,,,,,,,,,,,,,,,
"AT",1982,,,,,,,,,,,,,,,,,,,,,
"AT",1983,,,,,,,,,,,,,,,,,,,,,
"AT",1984,,,,,,,,,,,,,,,,,,,,,
"AT",1985,,,,,,,,,,,,,,,,,,,,,
"AT",1986,,,,,,,,,,,,,,,,,,,,,
"AT",1987,,,,,,,,,,,,,,,,,,,,,
"AT",1988,,,,,,,,,,,,,,,,,,,,,
"AT",1989,,,,,,,,,,,,,,,,,,,,,
"AT",1990,,,,,,,,,,,,,,,,,,,,,
"AT",1991,,,,,,,,,,,,,,,,,,,,,
"AT",1992,,,,,,,,,,,,,,,,,,,,,
"AT",1993,,,,,,,,,,,,,,,,,,,,,
"AT",1994,,,,,,,,,,,,,,,,,,,,,
"AT",1995,467,,,4,37,95,82,89,71,73,,,,6,22,52,32,21,18,59,
"AT",1996,442,,,,,,,,,,,,,,,,,,,,
"AT",1997,434,,,24,59,117,170,168,122,185,,,,33,41,93,62,52,52,172,
"AT",1998,381,,,,,,,,,,,,,,,,,,,,
"AT",1999,323,,,0,13,40,54,52,37,49,,,,0,10,16,18,6,2,26,
"AT",2000,324,,,1,17,30,59,42,23,41,,,,1,11,22,12,11,6,22,
"AT",2001,262,,,1,15,27,39,37,37,27,,,,1,8,13,15,4,6,18,
"AT",2002,220,,,1,8,14,32,43,20,25,,,,0,8,13,7,5,7,21,
"AT",2003,269,,,0,19,31,37,43,19,28,,,,2,10,25,12,7,4,12,
"AT",2004,216,,,1,19,19,38,27,24,21,,,,0,12,15,9,3,3,16,
"AT",2005,234,1,0,1,32,23,22,41,24,30,0,0,0,0,13,11,8,3,5,10,0
"AT",2006,213,0,1,1,9,25,36,39,19,19,0,1,1,2,12,12,16,5,3,15,0
"AT",2007,189,,1,1,12,15,27,26,18,25,,1,1,2,10,14,7,11,2,19,
"AT",2008,,,,,,,,,,,,,,,,,,,,,
"AU",1980,,,,,,,,,,,,,,,,,,,,,
"AU",1981,,,,,,,,,,,,,,,,,,,,,
"AU",1982,,,,,,,,,,,,,,,,,,,,,
"AU",1983,,,,,,,,,,,,,,,,,,,,,
"AU",1984,,,,,,,,,,,,,,,,,,,,,
"AU",1985,,,,,,,,,,,,,,,,,,,,,
"AU",1986,,,,,,,,,,,,,,,,,,,,,
"AU",1987,,,,,,,,,,,,,,,,,,,,,
"AU",1988,,,,,,,,,,,,,,,,,,,,,
"AU",1989,,,,,,,,,,,,,,,,,,,,,
"AU",1990,,,,,,,,,,,,,,,,,,,,,
"AU",1991,,,,,,,,,,,,,,,,,,,,,
"AU",1992,,,,,,,,,,,,,,,,,,,,,
"AU",1993,557,,,,,,,,,,,,,,,,,,,,
"AU",1994,,,,,,,,,,,,,,,,,,,,,
"AU",1995,,,,,,,,,,,,,,,,,,,,,
"AU",1996,,,,,,,,,,,,,,,,,,,,,
"AU",1997,226,,,1,8,24,18,13,17,28,,,,0,10,15,9,5,10,12,
"AU",1998,203,,,0,11,22,18,13,15,31,,,,2,19,24,15,8,2,24,
"AU",1999,285,,,0,13,40,54,52,37,49,,,,0,10,16,18,6,2,26,
"AU",2000,251,,,3,16,35,25,24,19,49,,,,0,15,19,12,15,5,14,
"AU",2001,228,,,1,23,20,18,18,13,35,,,,1,21,27,16,7,8,20,
"AU",2002,210,,,1,15,20,26,19,13,34,,,,0,15,21,15,6,4,23,
"AU",2003,113,,,0,14,10,2,11,5,30,,,,0,9,13,3,5,4,7,
"AU",2004,285,,,0,18,16,17,15,11,32,,,,0,6,17,5,7,3,19,
"AU",2005,241,,,0,32,27,23,11,12,30,,,,2,18,26,11,10,6,14,
"AU",2006,269,1,1,1,33,35,23,21,16,43,,1,1,2,18,27,14,7,9,21,
"AU",2007,281,0,3,3,30,33,20,15,14,37,,0,4,4,26,37,20,12,7,23,
"AU",2008,299,,,2,46,33,20,27,23,42,,,,3,27,32,14,6,11,10,
"AZ",1980,,,,,,,,,,,,,,,,,,,,,
"AZ",1981,,,,,,,,,,,,,,,,,,,,,
"AZ",1982,,,,,,,,,,,,,,,,,,,,,
"AZ",1983,,,,,,,,,,,,,,,,,,,,,
"AZ",1984,,,,,,,,,,,,,,,,,,,,,
"AZ",1985,,,,,,,,,,,,,,,,,,,,,
"AZ",1986,,,,,,,,,,,,,,,,,,,,,
"AZ",1987,,,,,,,,,,,,,,,,,,,,,
"AZ",1988,,,,,,,,,,,,,,,,,,,,,
"AZ",1989,,,,,,,,,,,,,,,,,,,,,
"AZ",1990,,,,,,,,,,,,,,,,,,,,,
"AZ",1991,,,,,,,,,,,,,,,,,,,,,
"AZ",1992,,,,,,,,,,,,,,,,,,,,,
"AZ",1993,499,,,,,,,,,,,,,,,,,,,,
"AZ",1994,513,,,,,,,,,,,,,,,,,,,,
"AZ",1995,669,,,0,13,29,14,6,4,1,,,,0,5,18,0,0,0,0,
"AZ",1996,990,,,0,57,302,231,47,101,16,,,,5,20,154,86,16,13,10,
"AZ",1997,981,,,0,120,244,194,89,12,3,,,,0,42,70,178,23,0,0,
"AZ",1998,727,,,0,44,47,24,9,4,2,,,,0,7,10,7,6,1,0,
"AZ",1999,763,,,0,96,46,217,184,49,0,,,,0,4,17,73,58,19,0,
"AZ",2000,890,,,0,9,24,33,42,30,0,,,,0,3,3,6,3,0,0,
"AZ",2001,927,,,3,1,3,,,,,,,,2,,1,,,,,
"AZ",2002,1661,,,6,290,433,359,190,72,16,,,,5,48,88,80,34,19,21,
"AZ",2003,1161,,,3,212,258,215,113,66,20,,,,1,72,60,62,48,26,5,
"AZ",2004,1472,,,8,248,311,222,167,92,83,,,,8,120,65,57,34,33,24,
"AZ",2005,1561,2,75,77,109,297,215,209,187,88,0,2,88,90,64,98,47,32,24,24,0
"AZ",2006,1454,1,5,6,241,362,365,120,78,30,0,0,2,2,51,66,66,44,15,8,0
"AZ",2007,1356,,,,,,,,,,,,,,,,,,,,
"AZ",2008,1409,,,,,,,,,,,,,,,,,,,,
"BA",1980,,,,,,,,,,,,,,,,,,,,,
"BA",1981,,,,,,,,,,,,,,,,,,,,,
"BA",1982,,,,,,,,,,,,,,,,,,,,,
"BA",1983,,,,,,,,,,,,,,,,,,,,,
"BA",1984,,,,,,,,,,,,,,,,,,,,,
"BA",1985,,,,,,,,,,,,,,,,,,,,,
"BA",1986,,,,,,,,,,,,,,,,,,,,,
"BA",1987,,,,,,,,,,,,,,,,,,,,,
"BA",1988,,,,,,,,,,,,,,,,,,,,,
"BA",1989,,,,,,,,,,,,,,,,,,,,,
"BA",1990,,,,,,,,,,,,,,,,,,,,,
"BA",1991,,,,,,,,,,,,,,,,,,,,,
"BA",1992,,,,,,,,,,,,,,,,,,,,,
"BA",1993,,,,,,,,,,,,,,,,,,,,,
"BA",1994,,,,,,,,,,,,,,,,,,,,,
"BA",1995,865,,,0,15,61,90,140,139,100,,,,0,40,67,64,49,77,23,
"BA",1996,927,,,5,30,48,62,51,60,39,,,,0,23,28,39,16,27,39,
"BA",1997,803,,,5,48,84,99,66,36,74,,,,11,53,42,50,35,65,83,
"BA",1998,640,,,1,28,75,85,75,55,75,,,,3,37,42,27,22,30,85,
"BA",1999,786,,,2,44,76,113,89,60,68,,,,6,49,59,34,24,38,87,
"BA",2000,759,,,4,56,82,99,66,58,77,,,,4,30,46,29,29,48,124,
"BA",2001,800,,,6,39,70,110,89,53,99,,,,7,45,50,34,17,50,127,
"BA",2002,526,,,1,36,48,70,69,33,63,,,,2,22,33,18,19,31,81,
"BA",2003,493,,,4,32,42,49,52,45,50,,,,4,27,37,34,14,30,73,
"BA",2004,889,,,3,66,79,95,82,77,115,,,,3,45,67,43,51,59,102,
"BA",2005,640,0,1,1,22,58,61,78,44,80,1,0,2,2,35,39,33,28,28,130,0
"BA",2006,562,0,0,0,40,58,47,53,42,66,2,0,0,0,41,50,24,29,20,88,2
"BA",2007,737,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BA",2008,509,0,0,0,20,35,38,84,49,79,0,0,3,3,26,26,20,11,6,112,0
"BB",1980,,,,,,,,,,,,,,,,,,,,,
"BB",1981,,,,,,,,,,,,,,,,,,,,,
